Akshat Kumar (Singapore Management University, Singapore
Maithilee Kunda (Vanderbilt University, USA
Philippe Laborie (IBM, France
Gerhard Lakemeyer (RWTH Aachen University, Germany
Wai Lam (Chinese University of Hong Kong, Hong Hong
Jerome Lang (Université Paris-Dauphine, France
Hoong Chuin Lau (Singapore Management University, Singapore
Edith Law (University of Waterloo, Canada
Yuh-Jye Lee (National Chiao Tung University, Taiwan
Domenico Lembo (University of Rome La Sapienza, Italy
Maurizio Lenzerini (University of Rome La Sapienza, Italy
Yves Lesperance (York University, Canada
Jiuyong Li (University of South Australia, Australia
Jun Li (Massachusetts Institute of Technology, USA
Lei Li (ByteDance AI Lab, USA
Ming Li (Nanjing University, China
Sheng Li (University of Georgia, USA
Wu-Jun Li (Nanjing University, China
Xiaodong Li (RMIT University, Australia
Xiaoli Li (Institute for Infocomm Research, A*STAR, Singapore
Yong Li (Tsinghua University, China
Yufeng Li (Nanjing University, China
Shou-De Lin (National Taiwan University, Taiwan
Zachary Lipton (Carnegie Mellon University, USA
Guangcan Liu (Nanjing University of Information Science and Technology, China
Hongfu Liu (Brandeis University, USA
Ji Liu (University of Rochester, USA
Liping Liu (Tufts University, USA
Risheng Liu (Dalian University of Technology, China
Si Liu (Chinese Academy of Sciences, China
Tongliang Liu (The University of Sydney, Australia
Tyng-Luh Liu (Academia Sinica, Taiwan
Xianglong Liu (Beihang University, China
Yan Liu (University of Southern California, USA
Yang Liu (Tsinghua University, China
Yongmei Liu (Sun Yat-sen University, China
Michele Lombardi (Università di Bologna, Italy
Alessio Lomuscio (Imperial College London, UK
Bryan Kian Hsiang Low (National University of Singapore, Singapore
Daniel Lowd (University of Oregon, USA
Haiping Lu (University of Sheffield, UK
Wei Lu (Singapore University of Technology and Design, Singapore
Zhengdong Lu (DeeplyCurious.AI, USA
Carsten Lutz (University of Bremen, Germany
Lin Ma (Tencent AI Lab, China
Daniele Magazzeni (King’s College London, UK
Giuseppe Manco (ICAR-CNR, IT, Italy
Sheila McIlraith (University of Toronto / Vector Institute, Canada
Reshef Meir (Technion – Israel Institute of Technology, Israel
Aditya Menon (Google Research, USA
Pauli Miettinen (University of Eastern Finland, Finland
Joseph Modayil (DeepMind, Canada
Christian Muise (IBM Research, USA
Hector Munoz-Avila (Lehigh University, USA
J. William Murdock (IBM, USA
Hideki Nakayama (The University of Tokyo, Japan
Preslav Nakov (Qatar Computing Research Institute, HBKU, Qatar
Nina Narodytska (VMware Research, USA
Gerhard Neumann (University of Lincoln, UK
Vincent Ng (University of Texas at Dallas, USA
Thanh Nguyen (University of Michigan, USA
Gang Niu (RIKEN, Japan
Barry O’Sullivan (University College Cork, Ireland
David Parkes (Harvard University, USA
Fabio Patrizi (University of Rome La Sapienza, Italy
Adrian Pearce (University of Melbourne, Australia
Yuxin Peng (Peking University, China
Marek Petrik (University of New Hampshire, USA
Florian Pommerening (University of Basel, Switzerland
Soujanya Poria (Nanyang Technological University, Singapore
Pascal Poupart (University of Waterloo, Canada
Guo-Jun Qi (University of Central Florida, USA
Yu Qiao (Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, China
Zhiwei Qin (Didi Research America, USA
Piyush Rai (IIT Kanpur, India
Ganesh Ramakrishnan (IIT Bombay, India
Balaraman Ravindran (Indian Institute of Technology, Madras, India
Rita Ribeiro (University of Porto, Portugal
Mark Riedl (Georgia Institute of Technology, USA
Mak Roberts (Naval Research Laboratory, USA
Juan Antonio Rodriguez Aguilar (IIIA-CSIC, Spain
Aaron Roth (University of Pennsylvania, USA
Michael Rovatsos (University of Edinburgh, Scotland
Subhro Roy (Massachusetts Institute of Technology, USA
Sasha Rubin (University of Naples Federico II, Italy
Salvatore Ruggieri (University of Pisa, Italy
Ashish Sabharwal (AI2, USA
Jun Sakuma (University of Tsukuba / RIKEN AIP, Japan
David Sarne (Bar-Ilan University, Israel
Brian Scassellati (Yale University, USA
Pierre Schaus (UCLouvain, Belgium
Steven Schockaert (Cardiff University, UK
Sven Seuken (University of Zurich, Switzerland
Nisarg Shah (University of Toronto, Canada
Ming Shao (University of Massachusetts Dartmouth, USA
Chunhua Shen (University of Adelaide, Australia
Victor Sheng (University of Central Arkansas, USA
Yuhui Shi (Southern University of Science and Technology, China
Eyal Shimony (Ben-Gurion University, Israel
Mantas Simkus (TU Wien, Austria
Eric Sodomka (Facebook, USA
Harold Soh (National University Singapore, Singapore
Thamar Solorio (University of Houston, USA
Dongjin Song (NEC Labs America, USA
Yan Song (Tencent, USA
Matthijs Spaan (Delft University of Technology, Netherlands
Karthik Sridharan (Cornell University, USA
Vivek Srikumar (University of Utah, USA
Siddharth Srivastava (Arizona State University, USA
Sebastian Stein (University of Southampton, UK
Sabine Storandt (University of Konstanz, Germany
Carlo Strapparava (Fondazione Bruno Kessler, Italy
Hang Su (Tsinghua University, China
Min Sun (National Tsing Hua University, Taiwan
Zhenan Sun (Chinese of Academy of Sciences, China
Einoshin Suzuki (Kyushu University, Japan
Prasad Tadepalli (Oregon State University, USA
Ichiro Takeuchi (Nagoya Institute of Technology and RIKEN AIP, Japan
Kartik Talamadupula (IBM, USA
Ah-Hwee Tan (Nanyang Technological University, Singapore
Jiliang Tang (Michigan State University, USA
Ke Tang (Southern University of Science and Technology, China
Pingzhong Tang (Tsinghua University, China
Sylvie Thiebaux (Australian National University, Australia
Jin Tian (Iowa State University, USA
Chuan-Kang Ting (National Tsing Hua University, Taiwan
David Toman (University of Waterloo, Canada
Ming-Feng Tsai (National Chengchi University, Taiwan
Ivor Tsang (University of Technology Sydney, Australia
Vincent Tseng (National Chiao Tung University, Taiwan
Grigorios Tsoumakas (Aristotle University of Thessaloniki, Greece
Zhaopeng Tu (Tencent AI Lab, China
Guy Van den Broeck (University of California, Los Angeles, USA
Yevgeniy Vorobeychik (Washington University in St. Louis, USA
Toby Walsh (NICTA, Australia
Xiaojun Wan (Peking University, China
Chong Wang (Google, USA
Hui Wang (Ulster University, Northern Ireland
Jie Wang (University of Science and Technology of China, China
Jingdong Wang (Microsoft Research, China
Kewen Wang (Griffith University, Australia
Xinchao Wang (Stevens Institute of Technology, USA
Yichen Wang (Georgia Institute of Technology, USA
Yisong Wang (Guizhou University, China
Zheng Wang (Didi Chuxing, China
Takashi Washio (Osaka University, Japan
Michael Wellman (University of Michigan, USA
Paul Weng (Shanghai Jiao Tong University, China
Adam White (DeepMind, Canada
Martha White (University of Alberta, Canada
Mark H. M.  Winands (Maastricht University, Netherlands
Frank Wolter (University of Liverpool, UK
Xindong Wu (Mininglamp Academy of Sciences, Mininglamp, Beijing, China
Xintao Wu (University of Arkansas, USA
Lirong Xia (Rensselaer Polytechnic Institute, USA
Rui Xia (Nanjing University of Science and Technology, China
Siyu Xia (Southeast University, China, China
Yanghua Xiao (Fudan University, China
Xing Xie (Microsoft Research Asia, China
Deyi Xiong (Soochow University, China
Chang Xu (University of Sydney, Australia
Haifeng Xu (Harvard University, USA
Jun Xu (Renmin University of China, China
Linli Xu (University of Science and Technology of China, China
Zenglin Xu (University of Electronic Science and Technology of China, China
Bing Xue (Victoria University of Wellington, New Zealand
Amulya Yadav (Pennsylvania State University, USA
Toshihiko Yamasaki (The University of Tokyo, Japan
Rui Yan (Peking University, China
De-Nian Yang (Academia Sinica, Taiwan
Pei Yang (South China University of Technology, China / Arizona State University, USA
Tianbao Yang (University of Iowa, USA
Yi Yang (University of Technology Sydney, Australia
William Yeoh (Washington University in St. Louis, USA
Dit-Yan Yeung (Hong Kong University of Science and Technology, China
Jia-Huai You (University of Alberta, Canada
Jun Yu (Hangzhou Dianzi University, China
Mo Yu (IBM T. J. Watson Research Center, USA
Yang Yu (Nanjing University, China
Yaoliang Yu (University of Waterloo, Canada
Changhe Yuan (City University of New York, Queens College, USA
Xiaotong Yuan (Nanjing University of Information Science and Technology, China
De-Chuan Zhan (Nanjing University, China
Dell Zhang (Blue Prism, UK
Dongmo Zhang (Western Sydney University, Australia
Jiajun Zhang (Institute of Automation Chinese Academy of Sciences, China
Jiji Zhang (Lingnan University, Hong Kong
Kai Zhang (Temple University, USA
Lijun Zhang (Nanjing University, China
Min Zhang (Soochow University, China
Nevin Zhang (Hong Kong University of Science and Technology, China
Qi Zhang (Fudan University, China
Xinhua Zhang (University of Illinois at Chicago, USA
Zhaoxiang Zhang (Institute of Automation, Chinese Academy of Sciences, China
Zhihua Zhang (Peking University, China
Zongzhang Zhang (Soochow University, China
Handong Zhao (Adobe Research, USA
Peilin Zhao (Tencent AI Lab, China
Mingyuan Zhou (University of Texas at Austin, USA
Yi Zhou (Western Sydney University, Australia
Hongtu Zhu (Didi Chuxing, China
Jianke Zhu (Zhejiang University, China
Xingquan Zhu (Florida Atlantic University, USA
Yada Zhu (IBM Research, USA
Aviv Zohar (The Hebrew University, Israel
Wangmeng Zuo (Harbin Institute of Technology, China
AAAI-19 Program Committee:
Hussein Abbass
Sherief Abdallah
Abbas Abdolmaleki
Naoki Abe
David Abel
Ayan Acharya
Maribel Acosta
Shuchin Aeron
Maedeh Aghaei
Thomas Agotnes
Pritee Agrawal
Antonio Agudo
Benyamin Ahmadnia
Nesreen Ahmed
